target	epoch	train_loss	val_loss
GATA1	1	0.3983924119930747	0.3972582841760542
GATA1	2	0.3959289834427578	0.39652169394118286
GATA1	3	0.3954981128342741	0.39626501043515705
GATA1	4	0.3949541564423473	0.39593861813148473
GATA1	5	0.3948335521534578	0.3958722679344423
GATA1	6	0.39504466633053803	0.3957916235128429
GATA1	7	0.39451214846821514	0.39557091350112955
GATA1	8	0.39436918019354184	0.3954546862721809
GATA1	9	0.3943355090500329	0.3954717550952376
GATA1	10	0.39454600715106014	0.39544693764550554
HIC2	1	0.41325167072130825	0.41301130768528743
HIC2	2	0.4113877070443873	0.41248095906311016
HIC2	3	0.41071166907478873	0.4125447042880614
HIC2	4	0.4104520565733314	0.41195356425332147
HIC2	5	0.4102322838526485	0.4117856092659608
HIC2	6	0.4102368339646523	0.41155508210871117
HIC2	7	0.40986733865667935	0.4117123409648614
HIC2	8	0.4099129320911395	0.41140775430513304
HIC2	9	0.40995623220597066	0.4114056214735918
HIC2	10	0.4097527688229204	0.4113884143577032
